Treatment,AnimalID,Performance
D-AP5,SP132,97.82383419689118
D-AP5,SP134,90.2390438247012
D-AP5,SP135,89.1891891891892
D-AP5,SP136,96.29629629629629
D-AP5,SP137,95.76515880654476
Saline,SP120,85.43956043956044
Saline,SP121,80.83333333333333
Saline,SP122,80.50314465408806
Saline,SP126,70.27600849256899
Saline,SP138,88.35978835978835
Saline,SP139,91.91616766467065
Saline,SP140,65.47231270358306
